person,ok,byte_errors
Norodom_Sihanouk,0,29
Nursultan_Nazarbayev,0,31
OJ_Simpson,0,29
Oleksandr_Moroz,1,27
Olesya_Bonabarenko,0,31
Olivia_Newton-John,1,26
Omar_Sharif,1,26
Oprah_Winfrey,0,31
Orlando_Bloom,0,31
Osama_bin_Laden,0,30
Oscar_Elias_Biscet,1,26
Owen_Wilson,1,28
Oxana_Fedorova,0,31
Ozzy_Osbourne,0,29
Padraig_Harrington,0,31
Paris_Hilton,1,19
Parris_Glendening,1,27
Pascal_Lamy,0,30
Pascal_Quignard,1,28
Pat_Burns,1,28
Pat_Cox,1,26
Patrice_Chereau,1,28
Patricia_Clarkson,1,27
Patricia_Heaton,1,28
Patrick_Ewing,0,32
Patrick_Leahy,0,32
Patrick_McEnroe,0,31
Patrick_Roy,0,31
Patti_Labelle,0,31
Patty_Schnyder,0,32
Paul-Henri_Mathieu,0,30
Paul_Byrd,0,30
Paul_Coppin,0,30
Paul_Gascoigne,0,29
Paul_Hogan,1,26
Paul_Kagame,0,29
Paul_McNulty,1,26
Paul_Patton,0,29
Paul_Pierce,0,32
Paul_Sarbanes,0,29
Paul_Shanley,0,32
Paul_Tagliabue,0,29
Paul_Wellstone,1,28
Paul_William_Hurley,0,29
Paula_Zahn,0,30
Paulo_Cesar_Pinheiro,1,19
Pedro_Solbes,1,26
Penelope_Ann_Miller,0,30
Penelope_Cruz,0,30
Pete_Carroll,0,29
Pete_Rose,0,30
Peter_Arnett,0,29
Peter_Bacanovic,0,30
Peter_Costello,0,30
Peter_Greenaway,1,26
Peter_Harrison,0,30
Peter_Hillary,1,24
Petria_Thomas,1,26
Petro_Symonenko,1,28
Phan_Van_Khai,1,24
Phil_Gramm,0,29
Phil_Mickelson,0,30
Phil_Vassar,1,27
Philippe_Noiret,0,30
Pierre_Boulanger,0,29
Pierre_Pettigrew,0,30
Placido_Domingo,0,30
Prince_Claus,0,29
Prince_Edward,0,30
Prince_Harry,0,29
Prince_Naruhito,1,28
Prince_Willem-Alexander,0,30
Prince_William,0,29
Princess_Aiko,0,29
Princess_Anne,0,30
Princess_Elisabeth,1,27
Princess_Masako,0,31
Priscilla_Owen,0,32
Priscilla_Presley,1,27
Pupi_Avati,1,25
